id,codice_archivio,tipologia,titolo,sottotitolo,prima_responsabilita,altre_responsabilita,luogo,edizione,ente,serie,anno,descrizione,cdd,soggetto,note
1048,PER.LAD.1932.3,PERIODICO,La Diana,rassegna d'arte e vita senes,"Aldo Lusini , Piero Misciattelli",,Siena,Stabimento Tipografico Ex Combattenti,,Anno VII - n. 3,1932,,709.4558,Siena - Storia - Arte,"In questo numero sono presenti i seguenti articoli:

Alfredo Barbacci: 		La chiesa di San Francesco a Chiusi
Mario Chiaudano: 		Mercanti e banchieri senesi nel secolo XIII
Aldo Lusini: 			Burle del secolo XVI
F. Mason Perkins: 		Pitture senesi poco conosciute X
Piero Misciattelli: 		Iconografia bernardiniana
Giulio Venerosi Pesciolini: 	Di alcune istituzioni Vallombrosane in Siena nei secoli XI e XIV"
1049,PER.LAD.1932.4,PERIODICO,La Diana,rassegna d'arte e vita senes,"Aldo Lusini , Piero Misciattelli",,Siena,Stabimento Tipografico Ex Combattenti,,Anno VII - n. 4,1932,,709.4558,Siena - Storia - Arte,"In questo numero sono presenti i seguenti articoli:

Maria Luisa Gengaro: 		Il primitivo del Quattrocento senese: Stefano di Giovanni detto 				Sassetta
Piero Misciattelli: 		L’idealismo civile di Santa Caterina da Siena
F. Mason Perkins: 		Pitture senesi poco conosciute XI
Aldo Lusini: 			Lettere di politici del Secolo XVI"
1050,PER.LAD.1933.1,PERIODICO,La Diana,rassegna d'arte e vita senes,"Aldo Lusini , Piero Misciattelli",,Siena,Stabimento Tipografico Ex Combattenti,,Anno VIII - n. 1,1933,,709.4558,Siena - Storia - Arte,Fascicolo donato da Beniamino Schiavone e Flavio Ceccotti. Esemplare n. 361. In questo numero sono presenti i seguenti articoli:Mario Salmi: Dipinti senesi nella raccolta Chigi Saracini Piero Misciattelli: Caterina da Siena Mistica Amante Mario Chiaudano: Notizie sulla sede di Genova della Gran Tavola di Orlando Bonsignori F.Mason Perkins: due pitture senesi inedite Giulio Venerosi Pesciolini:La strada Francigena nel contado di Siena nei sec. XIII e XIV
2197,PER.LAD.1933.2,PERIODICO,La Diana,rassegna d'arte e vita senes,"Aldo Lusini , Piero Misciattelli",,Siena,S.A.POLIGRAFICA MEINI,,Anno VIII - n. 2,1933,,709.4559,Siena - Storia - Arte,"In questo numero sono presenti i seguenti articoli:

Piero Misciattelli: 		A Siena (lirica)
Andrea Peter: 			Contributi alla conoscenza di Pietro Lorenzetti e della sua scuola
Francesco Valli: 			La mentalità agiografica del Beato Raimondo da Capua
Aldo Lusini: 			Ancora di Caterina Vannini e del Cardinale Federico Borromeo
S. A. Luciani: 			Musiche a una voce di Claudio Saracini e di Agostino Agazzari
F. Mason Perkins: 		Pitture murali inedite
Lilia Marri Martini: 		Chiese romaniche sulle antiche strade del contado senese
Piero Misciattelli: 		Margherita Bichi
MariaLuisa Gengaro: 		La visione artistica negli “ Scritti d’arte” di Luigi Mussini
Alfredo Barbacci: 		La sistemazione edilizia del quartiere di Salicotto a Siena"
1051,PER.LAD.1933.3/4,PERIODICO,La Diana,rassegna d'arte e vita senes,"Aldo Lusini , Piero Misciattelli",,Siena,S.A.POLIGRAFICA MEINI,,Anno VIII- n. 3/4,1933,,709.4558,Siena - Storia - Arte,"In questo numero sono presenti i seguenti articoli:

Alfredo Barbacci: 		Il restauro del Duomo di Pienza
Piero Misciattelli: 		Un ultima parola su Caterina Vannini
Aldo Lusini: 			Risposta ai Dottori dell’Ambrosiana"
1052,PER.LAD.1934.1/2,PERIODICO,La Diana,rassegna d'arte e vita senes,"Aldo Lusini , Piero Misciattelli",,Siena,S.A.POLIGRAFICA MEINI,,Anno IX n. 1/2,1934,,709.4558,Siena - Storia - Arte,"In questo numero sono presenti i seguenti articoli:

Maria Luisa Gengaro: 		Matteo di Giovanni
S. A. Luciani: 			Il Lamento della Madonna di Claudio Saracini
Piero Misciattelli: 		Passitea Crogi e un suo ritratto inedito
Alfredo Barbacci: 		Campane medioevali nel Senese
Lucia Rigatuso: 			Bartolo di Fredi
Lilia Marri Martini: 		Scrittori senesi: Vittoria Gazzei Barbett"
1053,PER.LAD.1934.3/4,PERIODICO,La Diana,rassegna d'arte e vita senes,"Aldo Lusini , Piero Misciattelli",,Siena,S.A.POLIGRAFICA MEINI,,Anno IX n. 3/4,1934,,709.4558,Siena - Storia - Arte,"Esemplare n. 130

In questo numero sono presenti i seguenti articoli:

Marialuisa Gengaro: Matteo di Giovanni
S. A. Luciani: Il Lamento della Madonna di Claudio Saracini
Piero Misciattelli: Passitea Crogi e un suo ritratto inedito
Alfredo Barbacci: Campane medioevali nel Senese
Lucia Rigatuso: Bartolo di Fredi
Lilia Marri Martini: Scrittori senesi: Vittoria Gazzei Barbetti
Olga Aminta Lusini: Indici generali"
1689,PER.LAD.1934.3/4,PERIODICO,La Diana,Rassegna di arte e vita senese,"Aldo Lusini , Piero Misciattelli",,Siena,Stabilimento Tipografico Ex-Combattenti,,anno IX n.3 -  4,1934,,709.4558,Siena - Storia - Arte,"A pag. 563 interessante articolo di Cosimo Giorgieri Contri ""Visite di buona vicinanza : una visita alla città bianco-nera"""
1062,PER.LAB.1933,PERIODICO,La Balzana : rassegna d'arte del costume e di attività municipale,Anno VII,,,,Tipografia Editrice Arti grafiche S. Bernardino,,,1933,,945.58,Siena - Storia - Arte,"In questo numero sono presenti i seguenti articoli:

Il nuovo Prefetto della Provincia
Attività amministrativa del 1953
Illustrazione del bilancio al Consiglio
Delibere consiliari
Lavori e progetti
In ricordo di Luigi Bonelli"
274,1987.02,LIBRO,Banchieri e mercanti di Siena,,Franco Cardini,Carlo Maria Cipolla,Roma,De Luca Editore Srl,Monte dei Paschi di Siena,,1987,384 p. : ill. ; 34 cm,330.9455805,Siena - Storia - Banchieri e mercanti senesi,
522,1992.09,LIBRO,I senesi a Montaperti,,Roberto Marchionni,,Siena,Roberto Meiattini Editore,,,1992,113 p. : ill. ; 24 cm,945.585043,Siena - Storia - Battaglia di Montaperti,
2198,1889.02,LIBRO,Il Libro di Montaperti,pubblicato per cura di Cesare Paoli,Cesare Paoli,,Firenze,G. P. Vieusseux,,,1889,"LXVI, 488 p. ; 34 cm.",945.58,Siena - Storia - Battaglia di Montaperti,
974,1843.01,LIBRO,La Battaglia di Montaperto,Racconto del Dott. Giovanni Boschi - Parte Prima,Giovanni Boschi,,Siena,Dai Tipi dell'Ancora,,,1843,"Opera in 3 tomi (1° Tomo 174 p. , 2° tomo 184 p., 3° tomo 169 p.) con incisioni; 17,5 cm",945.585043,Siena - Storia - Battaglia Montaperti,Legato in cartone e dorso in pelle
1104,1971.05,LIBRO,Mamma Siena,Dizionario biografico - aneddotico dei senesi,Ubaldo Cagliaritano,,Siena,Fonte Gaia,Fonte Gaia,Mamma Siena 1971-1977,1971,6 v. : ill. ; 22 cm,920.045581,Siena - Storia - Biografie,"Si tratta di un'opera edita in 6 volumi e pubblicata dal 1971 al 1977.
Vol. 1.: A-C. - 1971. - 231 p.
Vol. 2.: D-G. - 1971 - pp. 241-457
Vol. 3.: H-Pier. - 1971. - pp. 461-714
Vol. 4.: Pier-Z. - 1972. - p. 721-976, [1] c. di tav.
Vol. 5.: Appendici. - 1976 - pp. 985-1186
Vol. 6.: Bibliografia : parte 2. [sic]. - 1977. - p. 1196-1593, [1] c. di tav."
591,1905.01,LIBRO,L'assedio di Siena,,Maresciallo di Monteluc,,Firenze,Società Tipografica Fiorentina,,,1905,195 p. : ill. ; 22 cm,945.5807,Siena - Storia - Blaise de Montluc,tradotto dall'edizione francese pubblicata nel 1872
1443,1845.01,LIBRO,L’assedio di Siena,,Alessandro Bulgarini,,Firenze,Tipografia Le Monnier,,,1845,428 p. ; 17 cm,945.5807,Siena - Storia - Caduta Repubblica,Edizione che consta di due parti riunite.
2199,2009.17,LIBRO,I poveri cavalieri del Tempio,"Volume III Una doppia identità. Il segreto, i miti e le leggende",Tullio La Sala,,Firenze,FirenzeLibri s.r.l.,,,2009,319 p. ; 21 cm,,Siena - Storia - Cavalieri Templari,Il testo propone gli atti del convegno internazionale di Studi tenuto a Siena nel maggio 2005 sul ruolo di Pio II nell'evoluzione artistica di Siena intorno alla metà del secolo XV
1457,1897.02,LIBRO,Le origini di Siena. 2. Siena colonia romana,Conferenza tenuta il 3 Aprile 1897,Pietro Rossi,,Siena,Tip. E Lit. Sordo-Muti di L. Lazzeri,,Conferenze tenute nei giorni 3 e 10 Aprile 1897,1897,73 p. ; 19 cm,394.26945581,Siena - Storia - Colonia romana,
1666,1925.04,LIBRO,Il mercante senese nel Dugento,conferenza del prof. Lodovico Zdekauer,Lodovico Zdekauer,,Siena,Stab. Arti Grafiche Lazzeri,Camera di Commercio e industria di Siena,,1925,53 p. : ill. ; 25 cm,380.109455804,Siena - Storia - Commercio,
51,1896.01,LIBRO,Siena nel Principato Toscano,Conferenza tenuta il 21 marzo 1846,Domenico Zanichelli,,Siena,Tipografia e litografia Sordo-Muti di L. Lazzeri,,Serie Conferenze Accademia dei Rozzi,1896,"43 p., 19 cm",945.58107,Siena - Storia - Conferenze,Conferenze tenute nella R. Accademia dei Rozzi per cura della commissione senese di Storia Patria. La Contrada possiede due copie di tale pubblicazione.
1667,1950.10,LIBRO,Donne di Siena,,Lionetto Santi,,Siena,Editrice d'Arte La Diana,,,,21 p. : ill. ; 25 cm,945.581,Siena - Storia - Donne,Non si conosce l'anno esatto di pubblicazione
2200,1990.11,LIBRO,La balìa al torchio,stampatori e aziende tipografiche a Siena dopo la Repubblica,Mario De Gregorio,con una presentazione di Leandro Perini,Siena,Nuova Immagine,,,1990,232 p. : ill. ; 24 cm,686.2094558,Siena - Storia - Editoria,
1351,1895.02,LIBRO,Provvedimenti economici della Repubblica di Siena nel 1382,tratti da un testo a penna del senese R. Archivio di Stato,[a cura di Alessandro Lisini],,Siena,Enrico Torrini,,Piccola biblioteca storica senese,1895,"XXXII, 151 p. ; 19 cm",336.45581,Siena - Storia - Finanza Pubblica,
977,1998.17,LIBRO,Storia di Siena raccontata a fumetti,,Mario Lisi,Giuliano Catoni,Siena,Tipografia Senese,,,1998,170 p. : in gran parte ill. ; 21x24 cm,945.581,Siena - Storia - Fumetti,Catalogo d’ asta del congresso di Trento del 10 Ottobre 1998- Esposizioni
461,1998.08,LIBRO,Storia di Siena raccontata a fumetti,,Mario Lisi,,Siena,Tipografia Senese,,,1998,170 p. : ill. ; 21 cm,945.581,Siena - Storia - Libri per ragazzi,
616,1996.07,LIBRO,I libri dei Leoni,La nobiltà di Siena in età medicea (1557-1737),Mario Ascheri (a cura di),"Raffaele Argenziano, Fabio Bisogni, Lucia Bonelli Conenna, Giuliano Catoni, Oscar Di Simplicio, Alessandra Gianni, Caterina Pallavicino",Cinisello Balsamo (MI),Amilcare Pizzi,Monte dei Paschi di Siena,,1996,549 p. : ill. ; 32 cm,305.5223094558,Siena - Storia - Medici,
1718,1619.01,LIBRO,"Statuti dell’Università de’ Mercanti, e della Corte de gl’Offiziali della mercanzia della città di Siena",,,Bonetti,Siena,Bonetti,,,1619,"[12], 160 p. ; fol. : 27 cm",945.581,Siena - Storia - Mercanti,Front. con inc. xil. di S. Caterina e stemma mediceo.
256,1932.05,LIBRO,I mercanti senesi a Marsilia nel secolo XIII,Un decennio di Mercatura senese (1221 - 1230),Francesco Piccolomini Naldi Bandini,,Siena,Stabilimento Arti Grafiche Lazzeri,,,1932,29 p. ; 25 cm,,Siena - Storia - Mercanti senesi ,"Numero 10 della rivista ""Studi e commenti su monografie del prof. Andrea Emilio Sayous Parigi 1929, 1930, 1931"". Dono del seggio 2014."
413,2006.19,LIBRO,Trattato de l’origine et accrescimento de la città di Siena,,Benvoglienti Bartolomeo,"Ascheri Mario ,  Leoncini Alessandro",Monteriggioni (SI),Arti Grafiche Pistolesi,Lions Club Siena,,2006,"36, 30 p. ; 21 cm",945.581,Siena - Storia - Origini,"Il libro fa parte della collana ""Siena fuori di Siena"" diretta da Attilio Brilli e descrive la città nei primi anni del 1900. Il titolo originario dell'opera, edita nel 1910, era ""Siena and Southern Tuscany"". All'interno sono riprodotti gli acquarelli di Orlando Frank Montagu Ward."
1441,1856.01,LIBRO,Storia della Repubblica di Siena esposta in compendio da Vincenzo Buonsignori,volume primo,,,Siena,Tipografia di G. Landi,,,1856,279 p. ; 22 cm,945.581,Siena - Storia - Origini,
1432,1856.02,LIBRO,Storia della Repubblica di Siena esposta in compendio da Vincenzo Buonsignori,volume secondo,,,Siena,Tipografia di G. Landi,,,1856,279 p. ; 22 cm,945.581,Siena - Storia - Origini,
2201,2001.20,LIBRO,"L'ascesa al potere di Pandolfo Petrucci il Magnifico, signore di Siena (1487-1500) ",,Christine Shaw,traduzione di Daniela Solfaroli Camillocci,Moneriggioni (Si),Edizioni Il Leccio,,Documenti di storia ; 0037,2001,145 p. : ill. ; 24 cm,945.5810543092,Siena - Storia - Pandolfo Petrucci,
55,PER.ACC.2011.1,PERIODICO,Accademia dei Rozzi,Anno XVIII - n. 34,Accademia dei Rozzi,"(Ettore Pellegrini, Giuliano Catoni, Alessandro Leoncini, Fausto Landi, Mauro Barni, Doriano Mazzini, Felicia Rotundo, Mauro Civai, Angela Cingottini, Roberto Barzanti)",Monteriggioni (Si),Industria Grafica Pistolesi,Accademia dei Rozzi,Anno XVIII - N° 34   Giugno 2011,2011,111 p. : ill. ; 29 cm,945.581005,Siena - Storia - Periodici - Accademia dei Rizzi - Risorgimento,"In questo numero sono presenti i seguenti articoli:
1) Le ""belle e nobili feste"" del 1581 e la pazzia senese del ""corrir pagli, e trovar l' enventione""
2) Opere inedite o poco conosciute di Alessandro Maffei. Un nuovo contributo al catalogo del vedutista senese
3) I marchesi Leopoldo Feroni e Caterina Gori Pannilini, signori e mecenati di Frosini nell' Ottocento
4) Siena e la malinconia nei paesaggi mistici di Idilio dell' Era
5) Domenico Comporti: un Preside della Provincia che non aveva marciato
6) La vita di Sallustio Bandini
7) L' eclettismo di Silvio
8) Una città per innamorati
9) Nei ricordi di Roberto Barzanti due illustri protagonisti della vita culturale senese recentemente scomparsi: Margherita Marmoross Sergardi, Mario Guidotti
10) Montepulciano perla del Rinascimento"
78,1847.01,LIBRO,"Parole dette in Siena la sera del dì 30 ottobre 1847 in un banchetto ove sedevano gli Offiziali tutti della Guardia Civica, insieme ad altri Cittadini d'ogni condizione",,Raffaello Crocchi,Autori vari,Siena,Tipografia Mucci,,,1847,"16 p. ; 17,5 cm",945.581083,Siena - Storia - Risorgimento,Si tratta di una raccolta di interventi di cittadini senesi sull'Unità di Italia. Il testo è stato donato alla Contrada da Paolo Martelli
1472,1955.06,LIBRO,L’assedio,romanzo,Silvio Gigli,,Siena,Ed. Il Campo di Siena,,,1955,"226 p., [2] c. di tav. : ill. ; 22 cm",853.912,Siena - Storia - Romanzo,
2202,2009.20,LIBRO,"Dagli statuti dei Ghibellini al Constituto in volgare dei Nove con una riflessione sull'età contemporanea : atti della Giornata di studio dedicata al 7. centenario del Constituto in volgare del 1309-1310 (Siena, Archivio di Stato, 20 aprile 2009) ",,a cura di Enzo Mecacci e Marco Pierini,,Siena,Accademia Senese degli Intronati,,Monografie di storia e letteratura senese ; 0016,2009,"195 p., [8] c. di tav. ; 24 cm",945.58,Siena - Storia - Statuti,
346,1994.05,LIBRO,"Osti, avventori e malandrini","Alberghi, locande e taverne a Siena e nel suo contado tra Trecento e Quattrocento",Maurizio Tuliani,Giovanni Cherubini,Siena,Protagon Editori Toscani,,,1994,235 p. ; 21 cm,647.944558,Siena - Storia - Territorio,
2203,1998.27,LIBRO,La selva del lago ,il bosco di Siena nel medioevo,Sarita Massai,Giovanni Cherubini,Siena, Protagon,,,1998,"VII, 143 p. : ill. ; 21 cm",574.52642094558,Siena - Storia - Territorio,
1762,2007.29,LIBRO,L’ultimo secolo della Repubblica di Siena,"arti, cultura e società : atti del convegno internazionale Siena, 28-30 settembre 2003 e 16-18 settembre 2004","a cura di Mario Ascheri, Gianni Mazzoni, Fabrizio Nevola",Siena,Siena,Accademia Senese degli Intronati,,,2007,"548 p., [80] c. di tav. : ill. ; 24 cm",945.58072,Siena - Storia - Vita artistica e culturale,
1579,2001.17,LIBRO,"Prime comunità cristiane e strade romane nei territori di Arezzo, Siena, Chiusi : (dalle origini al secolo 8.) / Alfredo Maroni",,,,Siena,Edizioni Cantagalli,,3. ed.,2001,352 p. : ill. ; 24 cm,274.55802,Siena - Storia religiosa - Strade romane,
1451,2001.14,LIBRO,La festa dei tabernacoli,,"Riccardo Benucci , Maria Antonietta Peccianti",[foto di Lensini e Tassini],Sierna,Comune di Siena,,,2001,1 v. : ill. ; 30 cm,726.94820945581,Siena - Tabernacoli,
2204,1950.13,LIBRO,Le Tavolette di Biccherna e di altri uffici dello stato di Siena,,Archivio di Stato (Siena),,Firenze,Electa Editrice,,,1950,"127 p., [36] c. di tav. : ill. ; 17 cm",759.5581,Siena - Tavolette di Biccherna,
1076,1993.16,LIBRO,Teatro di Siena,,Luca Antonio Rossi,"Mauro Barni, Mario Verdone",Siena,Tipografia Senese,,,1993,203 p. : ill. ; 24 cm,852.914,Siena - Teatro,
1342,2005.20,LIBRO,L'orribil scossa della vigilia di pentecoste,Siena e il terremoto del 1798,Marina Gennari,,Siena,Edizioni Il Leccio,,,2005,"XXV, 417 p. : ill. ; 24 cm + 1 carta",945.5810744,Siena - Terremoti,
533,2000.10,LIBRO,Vita in villa nel senese,"dimore, giardini e fattorie",Conenna Bonelli,"Ettore Pacini , Mario Ascheri",Ospedaletto (PI),Pacini Editore Spa,Banca Monte dei Paschi di Siena spa,,2000,575 p. : ill. ; 33 cm,728.8094558,Siena - Territorio,
200,2006.09,LIBRO,Novanta pezzi da 90,Da Beppe Di Bedo a Giuseppe Mussari. Immagini e biografie non autorizzate di senesi illustri.,Vincenzo Coli,Augusto Mattioli,Siena,Terre de Sienne,,,2006,190 p. : Ill. ; 23 cm,920.045581,Siena - Territorio,"L'opera propone un ""viaggio iconografico"" su Siena e le sue terre attraverso le mappe ed i disegni che nel tempo hanno raffigurato le terre senesi."
1625,1981.14,LIBRO,Ritorno a Siena,,Mario Luzi,,Siena,Tipolito arteditoria Periccioli di C. Bruno,,Taccuini di Barbablù ; 0001,1981,7 p. ; 15 cm,853.914,Siena - Territorio,
1285,CON.DRA.1979.01,PUBBLICAZIONE_DI_CONTRADA,il territorio del Drago 1879 - 1979,,Contrada del Drago,,Siena,Edizioni Cantagalli,,,1979,30 p. ; ill. : 20 x 22 cm,,Siena - Territorio - Contrada del Drago,
2205,2000.22,LIBRO,Vedute dei contorni di Siena,,Ettore Romagnoli,"presentazione [di] Roberto Morrocchi ; saggi di Carlo Nepi, Fabrizio Stelo, Mario De Gregorio",Siena,Betti Editrice ; Biblioteca Comunale degli Intronati,,,2000,259 p. : in gran parte ill. ; 33 cm,741.945,Siena - Territorio - Disegni,
145,1932.02,LIBRO,Siena e la sua provincia 1932 - X,,Augusto Rondini,,San Casciano Valdipesa (FI),Fratelli Stianti,,,1932,847 p : ill. ; 20 cm,914.558,Siena - Territorio - Guide,Contrada Sovrana dell'Istrice a pagina 105 - 108.
1073,1931.02,LIBRO,Siena e la sua provincia,Enciclopedia Storico Artistica,A. Rondini,,Sancasciano Val di Pesa (FI),Stab. Tipogr. Fratelli Stianti,,,1931,801 p. :ill. ; 19 cm,914.5581,Siena - Territorio - Provincia,La pubblicazione è la prima edizione della omonima rivista
2206,2018.06,LIBRO,Il rione di Provenzano com'era,,Franco Fontani,,Siena,Edizioni Cantagalli s.r.l.,,,2018,91 p. : ill. ; 17x24 cm,945.581,Siena - Territorio - Rione di Provenzano,
135,2001.04,LIBRO,Lo spazio storico di Siena,,Mario Ascheri,,Cinisello Balsamo (MI),Arti Grafiche Amilcare Pizzi spa,Fondazione Monte dei Paschi di Siena,Itinerari di una civiltà,2001,295 p. : ill. ; 29 cm,945.58,Siena - Territorio - Storia,
182,2007.10,LIBRO,Qui sostò l'eroe,Garibaldi in terra di Siena,Luigi Oliveto,,Forlì,Primamedia Editore,,,2007,111 p. : ill. ; 24 cm,945.58084,Siena - Territorio - Storia  - Giuseppe Garibaldi,
733,1998.13,LIBRO,Le Terre di Siena,"La storia, l'arte e la cultura di una provincia unica",Maurizio Boldrini,,Siena,Protagon Editori Toscani,,,1998,: in gran parte ill. ; 34cm,700.94558,Siena - Territorio - Storia - Arte,"Contiene la rist. anast. e la trascrizione della Deliberazione dei Signori del brio e della Deputazione del comune del 1 settembre 1835, p. 39-69. In app.: Deliberazione del 25 marzo 1859, e, Bozzetti delle contrade, p.71-96"
541,1986.08,LIBRO,Viaggiatori stranieri in terra di Siena,,Attilio Brilli,,Roma,De Luca,Monte dei Paschi di Siena,,1986,"331 p., [120] p. di tav. : ill. ; 33cm",914.55804,Siena - Territorio - Viaggi,
1469,1998.21,LIBRO,"""Siena in fasce""",topografia e immagini della Sena Vetus,Alessandro Leoncini,[presentazione di Giuliano Catoni],Monteriggioni (SI),Edizioni Il Leccio,,Luoghi e territorio ; 0008,1998,70 p. : ill. ; 24 cm,945.581 (20 ita),Siena - Topografia storica,
504,1991.05,LIBRO,Siena,"Immagini, testimonianze e miti nei toponimi della città",Alberto Fiorini,,siena,Edizioni ALSABA,,,1991,406 p. : ill. ; 31 cm,914.55810014,Siena - Toponomastica - Storia,
458,2004.06,LIBRO,Stradario,Curiosità e stranezze nei toponimi di Siena,Roberto Crespi - Maura Martellucci,,Siena,Edizioni Betti,,,2004,199 p. : ill. ; 24 cm,914.55810014,Siena - Toponomastica stradale,
1397,1991.27,LIBRO,Siena,"immagini, testimonianze e miti nei toponimi della città",Alberto Fiorini,[fotografie di Elio e Stefano Ciol],Siena,Al.Sa.Ba,,,1991,406 p. : ill. ; 31 cm.,914.55810014,Siena - Toponomastica stradale - Storia,
1640,1936.07,LIBRO,La Torre del Mangia,,,,Siena,Stabilimento Grafico Combattenti,,,1936,23 p. ; 17 cm,914.55804915,Siena - Torre del Mangia,
752,1952.01,LIBRO,Incontro Trento - Siena,,Antonio Zieger (a cura di),,Trento,"Edizione del Centro Culturale ""Fratelli Bronzetti""",,,1952,11 p. : ill.  ; 16 cm,945.4,Siena - Trento,Opuscolo che descrive i rapporti tra la città di Siena e di Trento  a partire dalla concomitanza tra i colori della Contrada della Tartuca e i colori della bandiera di Trento.
2207,1840.01,LIBRO,Discorso storico su l'Università di Siena,,P. De Angelis,,Siena,Tipografia dell'ancora,,,1840,22 p. ; 21 cm,945.58,Siena - Università,
2208,1981.17,LIBRO,Le lauree dello Studio senese alla fine del secolo 15.,,Giovanni Minnucci,,Milano,Giuffrè,,Quaderni di Studi senesi ; 0051,1981,"122 p., 1 c. di tav. : ill. ; 24 cm",016.37820945581,Siena - Università,
252,2009.11,LIBRO,1939 - 2009 Settant'anni dall'Inaugurazione dell'Aula Magna,,Leoncini Alessandro,,Siena,Betti Editrice,,Quaderni dell'Archivio Storico ; 0001,2009,XXVII p. : ill. ; 24 cm,727.30945581,Siena - Università - Aula magna,
1539,1892.01,LIBRO,Una  Tradizione su Cristoforo Colombo,,,"Alessandro Allmayer , Gino Ciani  ( a cura di )",Siena,Tipografia editrice S. Bernardino,,,1892,"34 p. , [Tav.] : 26 cm",,Siena - Università - Cristoforo Colombo,L'edizione fu un omaggio degli studenti dell R. Università di Siena alla città di Genova nel IV centenario Colombiano
321,1991.02,LIBRO,L'Università di Siena,750 anni di storia,Mario Ascheri,Carlo Cartini,Siena,Monte dei Paschi di Siena,Monte dei Paschi di Siena,,1991,595 p. ; : ill. ; 33 cm,378.45581,Siena - Università - Storia,"Autori vari: Ascheri Mario, Avanzati Elena, Balestracci Duccio, Borgia Luigi, Brilli Attilio, Bruno Alberto, Cardini Antonio, Cateni Luciano, Catoni Giuliano, Ciampolini Marco, Calao Floriana, Denley Peter, Fioravanti Gianfranco, Folchi Monica, Fumi Cambi Gado Francesca, Kiene Michael, Marascio Nicoletta, Minnucci Giovanni, Moretti Italo, Moscadelli Stefano, Nardi Paolo, Parrini Cinzia, Pellegrini Ettore, Piccinni Gabriella, Poggi Salani Teresa, Porciani Ilaria, Rotundo Felicia, Vannozzi Francesca, Vigni Laura.
Due copie"
742,1935.04,LIBRO,L'università e le istituzioni culturali in Siena,,,Università degli Studi di Siena,"Siena dalla R. Università di Siena, ano XIII e.f.[1934/1935]",,,,1935,"246 p., [3] c. d tav. : ill. ; 35 cm",378.45581,Siena - Università - Storia - Accademie e istituti culturali,In costola collocazione della Provincia di Siena.
2209,2018.04,LIBRO,Vite di universitari senesi tra Settecento e Ottocento,,Alessandro Leoncini,,Siena,Università di Siena,,Quaderni dell'Archivio storico ; 0009;,2018,126 p. : ill. ; 24 cm,378.4558,Siena - Università - Studenti universitari,
2210,2018.05,LIBRO,L'Università di Siena e la Grande guerra ,,Alessandro Leoncini,,Siena,Università di Siena,,Quaderni dell'Archivio storico ; 0010;,2018,62 p. : ill. ; 24 cm,378.4558,Siena - Università - Studenti universitari,
397,1992.04,LIBRO,"Campione di tutte le fabbriche, strade, piazze, fonti, acquidotti, canali e cloache pubbliche appartenenti alla comunità di Siena - MDCCLXXXIX",,Fantastici Bernardino,Cresti Carlo (a cura di ),Siena,Edizioni Periccioli,,,1992,151 p. ; 27 cm,711.4094558,Siena - Urbanistica - Storia,
1546,2009.16,LIBRO,Gente vana,Sonetti in vernacolo senese,enrico Giannelli,,Siena,Cantagalli,,,2009,109 p. ; 21 cm,851.914,Siena - Vernacolo - Sonetti,
1124,CON.LEO.1997.01,PUBBLICAZIONE_DI_CONTRADA,La fonte di Pantaneto,,Contrada del Leocorno,,Siena,Contrada del Leocorno,,Quaderni de Le Fonti di Follonica,1997,45 p. : ill. ; 23 cm,730.945581,Siena - Via di Pantaneto - Fontane - Restauro,
1630,1931.04,LIBRO,Studi senesi,,Piero Misciattelli,,Siena,Editrice La Diana,,,1931,"XII, 414 p., [60] c. di tav. di cui 1 ripieg. : ill. ; 20 cm",945.581,Siena - Vita artistica e culturale,
272,2005.12,LIBRO,Pio II e le arti,la riscoperta dell'antico da Federighi a Michelangelo,Alessandro Angelini,"Andrea Lensini , Fabio Lensini",Cinisello Balsamo (MI),Silvana Editoriale,Banca Monte dei Paschi di Siena,,2005,607 p. : ill. ; 31 cm,709.45,Siena - Vita artistica e culturale ,
1560,1897.03,LIBRO,La vita pubblica dei senesi nel Dugento,conferenza tenuta il 10 aprile 1897,Lodovico Zdekauer,,Siena,Tip. e lit. Sordo-Muti di L. Lazzeri,,,1897,119 p. ; 18 cm,945.58104,Siena - Vita economica e sociale,
2211,CON.BRU.2019.01,PUBBLICAZIONE_DI_CONTRADA,Lo Zucchino evoluzione e rivoluzione,"In Mostra, storie e aneddoti sullo zucchino dal 1500 a oggi",Massimiliano Falchi,,Siena,Nobil Contrada del Bruco,,,2017,47 p. : ill. ; 21 cm.,394.26945581,Siena - Zucchino,Numero unico edito in occasione del 30° Anniversario della Fondazione della Sezione Piccoli Chiocciolini
49,2011.01,LIBRO,"""La Città Nostra""",Siena dal Risorgimento all'unità,"Zeffiro Ciuffoletti , Maurizio Degl'Innocenti",,Siena,Protagon Editori,Fondazione Monte dei Paschi di Siena,Protagonisti e Momenti,2011,319 p. : ill. ; 20 cm,945.581083,Siena -Storia,Della serie protagonisti e momenti
2212,1993.22,LIBRO,L' ultimo statuto della Repubblica di Siena (1545) ,,a cura di Mario Ascheri,,Siena,Accademia Senese degli Intronati,,,1993,"XXXVI, 536 p. ; 24 cm",342.455 8,Siena - Statuti,
