id,codice_archivio,tipologia,titolo,sottotitolo,prima_responsabilita,altre_responsabilita,luogo,edizione,ente,serie,anno,descrizione,cdd,soggetto,note
505,2008.08,LIBRO,Le pitture del Duomo di Siena,,Mario Lorenzoni (a cura di),,Cinisello Balsamo (MI),Silvana Editoriale,,,2008,216 p. : ill. ; 31 cm,759.5581,Siena - Duomo - Arte,
530,2003.11,LIBRO,Duccio,La vetrata del duomo di Siena e il suo restauro,Alessandro Bagnoli,Camillo Tarozzi,Cinisello Balsamo (MI),Sivana Editoriale Spa,,,2003,53 p. : ill. ; 24 cm,748.595,Siena - Duomo - Duccio di Buoninsegna,
290,1979.01,LIBRO,La Cattedrale di Siena,"Ottavo centenario della consacrazione, 1179-1979",Ubaldo Morandi,,Siena,Centro Offset,,,1979,95 p. : ill. ; 24 cm,282.45,Siena - Duomo - Esposizioni,
1067,1926.02,LIBRO,La Libreria Piccolomini nel Duomo di Siena,,Piero Misciattelli,,Siena,Libreria editrice senese,,,1926,"42 p., 64 c. di tav. : ill. ; 25 cm",726.5250945581,Siena - Duomo - Libreria Piccolomini,
601,1968.04,LIBRO,La Libreria Piccolomini nel Duomo di Siena,,Piero Misciatelli,,Siena,Tipografia Ugo Periccioli,,,1968,"39 p., 54 c. di tav. : ill. ; 24 cm",726.5250945581,Siena - Duomo - Libreria Piccolomini,"Nel frontespizio una dedica autografa del Priore Onorario della Contrada della Selva all' Onorando Priore della Contrada Sovrana dell' Istrice, datata 8 novembre 1988."
526,1982.06,LIBRO,Il pavimento del Duomo di Siena,,Bruno Santi,,Firenze,Scala,,,1982,63 p. : ill. ; 20 cm,726.50945581,Siena - Duomo - Pavimenti,In sottocopertina sigla G.B. '09.
511,2004.09,LIBRO,Il Pavimento del Duomo di Siena,"L'arte della tarsia marmorea dal XIV al XIX secolo, fonti e simbologia",Marilena Caciorgna,Roberto Guerrini,Milano,Edizioni Silvana,Opera della Metropolitana,,2004,239 p. : ill. ; 321 cm,726.60945581,Siena - Duomo - Pavimenti,"Si tratta di un libro tratto dalla collana ""Siena fuori di Siena"",  diretta da Attilio Brilli.  Il libro descrive la Siena della fine del 1800 e si inserisce nel contesto di una serie di viaggi del Grand Tour."
2127,1952.03,LIBRO,Numero unico a ricordo della grande manifestazione di tutti i restauri dell'insigne cattedrale e del museo dell'Opera Metropolitana di Siena,,,,Siena,,,,1952,"95 p., 16 c. di tav. : ill. ; 32 cm",726.60945581,Siena - Duomo - Restauri,
532,2003.12,LIBRO,Sotto il Duomo di Siena,"Scoperte archeologiche, architettoniche e figurative",Roberto Guerrini,Sedeil Maz,Milano,Arti Grafiche Amilcare Pizzi SpA,Banca Monte dei Paschi di Siena,,2003,221 p. : ill. ; 30 cm,726.60945581,Siena - Duomo - Scavi archeologici,
190,1997.02,LIBRO,Il Duomo come libro aperto,Leggere l' arte della Chiesa,Bruschelli Senio (a cura di),"Caciorgna Marilena, guerrini robertop, Santi Bruno, Verdon Timothy",Monteriggioni (SI),Editrice Il Leccio,Opera della Metropolitana di Siena,Quaderni dell'Opera,1997,204p. Ill. ; 24cm,726.60945581,Siena - Duomo di Siena,
1106,1972.06,LIBRO,Mostra fotografia sul Palio,"[Circolo Bancari, 11-24 settembre 1972]",Comitato Amici del Palio,,Siena,Tipografia Ancora,,,1972,52 p. ; 17x22 cm,779.939426945581092,Siena - Esposizioni - Fotografie,Catalogo della mostra esposta al circolo bancari dal 11-24 settembre 1972 contenente le didascalie della mostra.
2128,1987.13,LIBRO,La stampa democratica e operaia a Siena nell'Ottocento,"Archivio di Stato di Siena, 15 dicembre 1986-25 gennaio 1987",,,Siena,Amministrazione Provinciale di Siena,,,1987,107 p. ; 21 cm,075.58,Siena - Esposizioni - Stampa periodica,Catalogo della Mostra
2129,2010.21,LIBRO,Ettore Bastianini ,una meteora del canto lirico,Attilio Botarelli,,Siena,,,,2010,12 p. ; 21 cm,,Siena - Ettore Bastianini,
2130,2008.18,LIBRO,Per comodo ed istruzione de' Giovani di Spezieria,ricostruzione di un trattato settecentesco senese di spezieria attribuibile a Jacinto Marchi maestro speziale del Regio spedal grande di Siena,"a cura di Paolo Ghiara, Roberto Gagliardi",prefazione di Fabio Cavalli ; presentazione di Giuseppe Franchi,Siena,Il Leccio,,,2008,295 p. ; 24 cm ,615.1,Siena - Farmacologia,
